Eselborn, Op der San
Heffingen, Rue de Ch
Hautcharage, Stade  
Mecher, Dueref      
Strassen, Schoenacht
Greiveldange, Schoul
Dudelange, Gare-Usin
Clausen, Malakoff   
Erpeldange/Ettelbruc
Rameldange, Beiebier
Maldingen, Kirche   
Schifflange, Cit  Em
Oberpallen, Schnudde
Clervaux, Piscine   
Diekirch, Neie Kolle
Esch/Alzette, Bd Alo
Cessange, Boy Konen 
Belair, Sacr -Coeur 
Sandweiler, Koschter
Burer Millen        
Rosport, Lokal      
Wilwerwiltz, Schoulk
Luxembourg/Strassen,
Alscheid, Haut      
Reuler, Duerf       
Marnach, P nnik     
Sanem, Zentrum      
Marnach, Bombatsch  
Schuttrange, Al-Sch 
Clervaux, Kalborn/Ka
Nommern, Kiirch     
Longuich, Parkplatz 
Marnach, F schberstr
Obercorn, LTMA Annex
Kreizerbuch         
Gonderange, Stohlbou
Leudelange, Schl iwe
Boxhorn, Hongerkaul 
Oberglabach, Kapell 
Lipperscheid, Leweck
Limpertsberg, Arts e
Marnach, Gesch ftsze
Folschette, Rammeric
Steinsel, Michel Rod
Dudelange, Kr izbier
Lenningen, Basilika 
Kehlen, Schaarfeneck
Hoffelt, Driicht    
Itzig, Itzigerstee  
Gostingen, Am Ennerd
Wasserliesch, Reinig
Trier, Messepark P+R
Schrondweiler, Um Wo
Wasserbillig, Meseni
Perl , An der Huel  
Schlindermanderschei
Differdange, Gare   
Heffingen, Abri (Cen
Clemency, Schock    
Hachiville, Centre  
Bonnevoie, Demy Schl
Gasperich, Fran ois 
Schuttrange, Kierche
Esch/Alzette, Kazebi
Wiltz, Belle Vue    
Nocher, Um Knupp    
Alsdorf (Eifel), Abz
Junglinster, Um Radi
Altwies, An der Kaz 
Rodange, Kierch     
Kayl, Broucherbierg 
P tange, Gare       
Dudelange, Rue Nic B
Beckerich, Fraiheets
Ernster, Engelshaff 
Bereldange, Police  
Gasperich/Howald, P&
Benonchamps, N  108 
Consdorf, Post      
Esch/Alzette, Kierfe
Hupperdange, Schull 
Tuntange, Weisserche
Irrhausen, Im Pfenn 
Nospelt, Pompjeesbau
Sanem, Kierch       
Bettendorf, Gemeng  
Reisdorf, Bei der Ga
Niederanven, Geisfel
Boevange/Attert, Mil
Grevenmacher, Copal 
Aubange, Village    
Wahlhausen, Akescht 
Weimerskirch, Pierre
Wecker, Coboulux    
Schengen, Um Haff   
Herserange, Paris   
Ettelbruck, Cit  Pat
Rodange, Niederredin
Lenningen, Am Aker  
Consdorf, Schoul    
Arsdorf, Am Gronn   
Mt.St.Martin, Jean J
Cessange, Fischerhaf
Kirchberg, Konrad Ad
P tange, Paschtouesc
Pronsfeld, Kirche   
Esch/Alzette, Piscin
Soleuvre, Zolwerknap
Soleuvre, Rouseb sch
Hamm, Peupliers     
Mondorf, R imecherst
Nocher, Route N 20  
Medernach, Fondation
Sterpenich, Passage 
Kleinhoscheid       
Beiler, Bei der aler
Mt.St.Martin, Maison
Remich, Pl. Nico Klo
Flatzbour           
Cessange, Artisans  
Roeser, Gemeng      
Beaufort, Um Bierg  
Kirchberg, Sichegron
Hagen, Op Eechelter 
Oberpallen, Br ck   
Grosbous, Spr tzenha
Niederpallen, Ditzeb
Mt.St.Martin, Nancy 
Esch/Alzette, Lallen
Flaxweiler, Op der B
Kirchberg, Labours  
Brouch/Mersch, Kierc
Roodt/Syre, Barri r 
Reimberg            
Reckange/Mersch, Hos
Wilwerdange, Kiirch 
Belvaux, Roudewee   
Mersch, B nzert     
Kehlen, Enneschte Bu
Heiderscheid, Zone C
Huldange, Scierie   
Rodange, rue Philipp
Arsdorf, Op der Lee 
Noertrange, Um Dr ic
Rodange, Gendarmerie
Pontpierre, Koppbier
Reuland             
Belvaux, Uewerkuerer
Dellen, Am Duerf    
Strassen, Atrium    
Berl , Um Dr isch   
Strassen, Geesseneck
Esch/Alzette, Ausz i
Leudelange, LaLux   
Holtz, Um Bur       
Lorentzweiler, rue d
Eschette, Duerf     
Belvaux, Henri Tudor
Savelborn, Haaptstro
L velange, Kalek    
Niedercorn, CHEM 1  
Perl, Bahnhofstrasse
Centre, St replaz / 
Boxhorn, Schemer    
Ell, Beim Musikssaul
Grosbous, Beim Iwwer
Moestroff, Wangerten
Asselborn, Elwenter 
Hollenfels, Vereinsb
Trier, Christophstr.
Schoenfels, Schlass 
Rodenbourg, An der S
Orscholz, Post      
Lorentzweiler, Gare 
Schweich, P&R       
Bollendorf-Pont, Ham
Vianden, Place Engel
Nothum, Molkerei    
Lasauvage, Kierch   
Saeul, Post         
Esch/Alzette, Auberg
Machtum, Bei der Sch
Merscheid/Heidersche
Gasperich, Lascombes
Kuborn              
Emerange, Centre Cul
Strasbourg          
Burden, Haaptstrooss
Schieren, Faubourg  
Bascharage, Bomecht 
Ehner, Krier        
Gilsdorf, Am Treppch
Gonderange, Op der B
Howald, Minsb sch   
Gonderange, Op der G
Rollingergrund, Stee
Longwy, Place Darche
Barnich, Ecole      
Erpeldange/Bous, Sch
Michelbouch         
Merscheid/Putscheid,
Wahlhausen, Kiirch  
Rodange, Vullesang  
Moutfort, Kiem      
Soleuvre, Huuschtewe
Lieler, G sselchen  
Dudelange, Rue Angel
Rumelange, Atelier K
Mondorf, Daundorf   
Pr m, Gerberweg     
Selz                
Knaphoscheid, Schent
Bonnevoie, Izegerknu
Hoscheid-Dickt, Um P
Hoscheid-Dickt, Um W
Angleur, Gare       
Esch/Alzette, Rue La
Colmar, Goldbierg   
Lipperscheid, Ale Ki
Diekirch, rue Merten
Luxembourg, Siggy vu
Niedercorn, Altershe
Warken, Cit  Waarkda
Bigonville, R imerwe
Kopstal, Kapell     
Pont-a-Mousson      
Walferdange, Gare   
Riesenhaff          
Belvaux, Brill      
Cruchten, Heemeschba
Beggen, Cyprien Merj
Ellenger Gare       
Kirchberg, Coque    
Wiltz, Pompjeesbau  
Selscheid, Dirwis   
Pratz, Folschterstro
Stegen, Bloen Eck   
Clausen, Plateau Alt
Schifflange, Huele W
Bettembourg, Caf  du
Kayl, Rue de Noertza
Colmar, rue de Luxem
Pontpierre, L tzebue
Frisange, Op der Kr 
Pontpierre, Leidelen
Charles Darwin      
Arlon, INDA         
Frisange, Hau       
Munsbach, Minsber Ba
Wormeldange, Op der 
Rameldange, Am Duerf
Derenbach, Weischent
Useldange, Spuerkees
Wiltz, Schwemm      
Nittel, Bahnhof     
Perl, Maim hle      
Moutfort, Kapell    
EIDE - Esch         
Ettelbruck, Rue Prin
Cessange, Duerf     
Nothum, Schumann    
Folschette, Carri re
Betzdorf, Bei der Sc
Cents, Halte CFL    
Altrier, Op der Scha
Leudelange, Grasb sc
Sprinkange, Place de
Esch/Alzette, Rue Mi
Bitburg, Echternache
Ingeldorf, Cactus   
Bastendorf, Beim Ter
Marnach, Beim Sender
Merl, Conservatoire 
Bouferknupp         
Lausdorn            
Belvaux-Soleuvre, Ga
Huldange, Grotte    
Reisdorf, An der Ee 
Dorscheid, Am Poul  
Flaxweiler, Am Faubo
Niedercorn, Route de
Luxembourg, Wallis  
Belvaux, Boulodrome 
KOPSTAL, Kl ipesch  
Bergem, Raedelsboesc
Wasserbillig, Centre
Arlon, Pl.des Chasse
Esch/Alzette, Rue M.
Colmar-Berg, Z.I. Ro
Elvange/Mondorf, Bei
Putscheid, Gemeng   
Beringen, W schbur  
Kayl, Post          
Pommerlach, Tr ntelh
Cents, Camille Polfe
Merl, Op der Millen 
Wolsfeld, Kirche    
Weimerskirch, M erte
Hobscheid, Viirstad 
Bigonville, Knupp   
T tange, Rue Neuve  
Sassel              
Sonlez, Koschter    
Rodenbourg, Am Duerf
Mertert, route Natio
Wiltz, Kautebaachers
Merl, Orval         
Altrier, Kreizenh ic
Wolwelange, Ennescht
Esch/Alzette, Schlue
Esch/Alzette, Burgro
Wiltz, Schlass      
Consdorf, Melickshec
Kleinbettingen, Duer
Landres, Cimeti re  
Helfent, City Concor
Urspelt, Knupp      
Goeblange, Giewel   
Harlange, Bei der Sc
Belvaux, Batting    
Clemency, Schwemm   
Athus, Garage Peugeo
Mamer, Coq Hardi    
Pulvermuhl, Hammerd 
Differdange, Profi  
Heffingen, Centre   
Siebenaler          
Gilsdorf, Schoul    
Bonnevoie,  mile Dup
Hostert, Betzberg   
Michelau, Willspull 
Reuler, Centre Scola
Lamadelaine, Schoul 
Berchem, Gare       
Warken, Cit  Boursch
Mompach, Buerschdr f
Sandweiler, rue d'It
Wiltz, Aalen Tipp   
Christnach, Fielsers
Belair, Stade       
Neidhausen, Kiirch  
Lameschmillen       
Schimpach           
Losheim, Merziger St
Esch/Alzette, Terres
T tange, Schungfabri
Mont St. Nicolas    
Grosbous, Kiirf nt  
Dommeldange, Arcelor
Niederanven, Minsbec
Grevenmacher, Enner 
Nothum, Duerfstrooss
Marloie             
Heiderscheid        
Esch/Alzette, Wobr c
Munsbach, Op der Gar
Roeser, Oradour     
Steinsel, Laval     
Merl, Parc          
Aubange, Zoning     
Benonchamps, Pont   
Muhlenbach, Peiffesc
Dudelange, Maison de
Wallendorf, Bei der 
Mondorf, Christophor
Koerich, SES        
Lamadelaine, Lyc e T
Rameldange, Op der B
Sanem, Cit  Tornaco 
Irrhausen, Eigelsfen
Soleuvre, Cit  Schei
Halanzy             
Mertzig, Gemeng     
Lorentzweiler, An de
Reuler, H h         
Breinert            
Everlange, Everl nge
Sentzich, Cimeti re 
Longwy, 11 Novembre 
Hovelange, Bei Bitze
Mertert, Beckius    
Lieler, Schull      
Noerdange, Ale Pompj
Oberdonven          
Belfort, Montbeliard
Weiswampach, Duarref
Messancy, Promenade 
Differdange, Avenue 
Colpach-Bas, Schlass
Mondercange, Blach  
Assel               
Belair, Rue de l'Oue
Ehlerange, ZARE oues
Autelbas, Centre    
Gasperich, D portati
Bastogne, Home Marke
Garnich, Rixegoard  
Boevange, Helpert   
Roullingen, Duerf   
Fischbach/Mersch, Pa
Lieler, Beim Biereg 
Merkholtz, Dellewee 
Echternacherbr ck, P
Aubange, Nizette    
Differdange, Vesquen
Ermsdorf, Buntewee  
Greiveldange, Neie W
Rollingergrund, Biis
Kayl, Br ck         
Berdorf, Hotel Herbe
Asselscheuer/Uessels
Medingen, Aire de vi
Roeser, Bei der Uelz
Schifflange, Stadhau
Dickweiler, Duerfpla
Beiler, Beim Kr cks 
Benonchamps, N  2A  
Moersdorf, Iewescht 
Openthalt           
Troine-Route, Op der
Marnach, Bei der Kie
Esch/Alzette, Cit  d
Mondorf, Vor Howent 
Waldbredimus, Hanner
Strassen, Bechel    
Gasperich, Francopho
Goedange            
Grevenknapp, Riesenh
Frisange, Aal Gemeng
Mondercange, Schw mm
Fentange, Hiehl     
Specksmillen        
Niederglabach, Peffe
Brandenbourg, Kapell
Ottange, Transformat
Bascharage, Boeltgen
Rodange, Cit    la W
Eich, Klinik        
Vianden, Gare       
Larochette, Spuerkee
Buschdorf, M  schhaf
Strassen, Terminus  
Aubange, rue d'Athus
Bleesbr ck          
Pont de Langsur     
Garnich, Schm tt    
Echternach, Morgenst
Capellen, Eechterfel
Echternach, Manertch
Foetz, Feitzerhaff  
Gilsdorf, An der Kl 
Bettembourg, Mosselt
Irrhausen, Gemeindeh
Grevenmacher, rte.de
Dahlem, Um P tz     
Hamm, Rue Haute     
Niedercorn, Mathenda
Altrier, Heeschbrege
Sandweiler, Schaedha
Niedercorn, Aale Sta
Merl, Kiirfecht     
Grevenmacher, Stadio
Warken, Centre d'Edu
Longwy, R publique  
Schouweiler, Gare   
Kirchberg, Philharmo
Bonnevoie, Chalop   
Limpertsberg, Bois  
Fran ois Hogenberg Q
Reckange/Mersch, Bar
Pfaffenthal-Kirchber
Berdorf, Duerfplaz  
Soleuvre, Cit  2000 
Eschweiler/Wiltz, Ha
Belair, Kierch      
Eschweiler/Wiltz, Hi
Mersch, Maartplaz   
M llerthal, Schiesse
Findel, Cargo Center
Graulinster, Haaptst
Esch/Alzette, Gare  
Born, Op Kimmelt    
Esch/Alzette, Gare (
Pfaffenthal, Sichenh
Bonnevoie, Jean Jaco
Esch/Alzette, Cit  J
Niedercorn, Wagner K
Wahlhausen, Am Duerf
Bascharage, Jules He
Esch/Alzette, Cliniq
Winseler, Rossk mmch
Itzig, Kapell       
Urspelt, Schlass    
Godbrange, Op der Ha
Betzdorf, Gare      
Esch/Alzette, Cit  V
L velange, Ellerstro
Mersch, Uewermiersch
Hosingen, Bayrischt 
Gilsdorf, Cimeti re 
Heisdorf, Klouster  
Hoscheid, Kr izgaass
Longwy, Lafontaine  
Gasperich, Cloche d'
Altlinster          
Wintrange, Dorefplaz
Vichten, Schoul     
Schouweiler, Kiirch 
Kehlen, Bei Fiewer  
Larochette, Leedebac
Burmerange, Bei der 
Colmar, Gare        
Rumelange, A Wiendel
Remerschen, Ennen am
Schrondweiler, Schou
A roport Luxembourg/
Belair, Archiducs   
Bertrange, Ecole Eur
Junglinster, Op der 
Clemency, Henn      
Martelange, Gare    
Longwy, Kin polis Ca
Erpeldange/S re, Um 
Dippach, Bei der Cr 
Bissen, Geiwels     
Drinklange          
Bourglinster, Buchho
Contern, Kr izgaass 
Centre, H llepull   
Bascharage/Sanem, Ga
Herserange, La Folie
Vianden, Plank      
Christnach, Hierheck
Potaschbierg        
Rolling/Bous        
Lamadelaine, Bei der
Rameldange, Bounert 
Perl, Oberperl      
Flaxweiler, Buchholz
Arsdorf, Bei der Kap
Schieren, Centre spo
Niederweis          
Eschdorf, Mairie    
Schweich, B53       
Bettembourg, Route d
Wincheringen, Winche
Eschdorf, Braas     
Dillingen (Saar), Ei
Hobscheid, Hiehl    
Bivels, Op der Mille
Kirchberg, Jean Monn
Weiswampach, Am Leem
Nocher, Welscheedgen
Capellen, Pafebruch 
Niedercorn, Schoul  
Kayl, Diddelengerstr
Pontpierre, Freschpe
Limpertsberg, Belle-
Dudelange, Kiirch   
Schieren, Porte de S
Nocher, Schoul      
Hinkel              
Leudelange, W schbur
Heispelt, G ierekr i
Lamadelaine, Gare   
Bigonville, K ismaar
Niederanven, Millen 
Dudelange, Biereng  
Welfrange, Op der Pl
Noerdange, Beim Kiir
Trier, S dbahnhof   
Cents, I.N.S.       
Wolwelange, Kiosk   
Dommeldange, Contour
Mulhouse, Gare      
Bettendorf, Annexe L
Eschweiler/Wiltz, Ga
Landres, Gare       
Knaphoscheid, Dahl  
Steinsel, Bourgaass 
Larochette, Hangelsb
Hondelange, Chemin d
Machtum, Deisermille
Strassen, Kesseler  
T tange, Duerf      
Limpertsberg, Crispi
Rodange, Waeschbur  
Mettlach, Keuchingen
Longwy, Stade       
Surr , G nzebierg   
Strassen, Aur lia   
Differdange, Rue de 
Ansembourg, Kapell  
Beiler, Op der Halt 
Helfenterbr ck      
Dudelange, Rue Marce
Dudelange-Centre, Ga
Mertert, Eglise     
Wormeldange, Gem en 
Derenbach, Kiirch   
Dommeldange, Barri r
Bergem, Blummestroos
Grevenmacher, Seiden
Mertert, Copal      
Heinerscheid, Bei Di
Limpertsberg, Fa enc
Gro steen           
Colmar-Berg, place P
Echternach, Fielsmil
Mamer, Holzemerstroo
Bridel, Flamo       
Senningerberg, Breed
Rollingergrund, Stan
Putscheid, Gemengeba
Blaschette, r.de Wor
Waldbredimus, Kiirch
Holzthum, Op der Hoe
Hostert, Binnewee   
Nancy, Ville        
Enscherange, Loumill
Olm, Kr imerech     
Differdange, Grillpl
Saarburg, Kahren    
Hollerich, AVL Porta
Strassen, Les Aub pi
Schieren, rue de la 
Petit Nobressart, Am
Rosswinklerhaff     
Kreuz-Konz          
Reckange/Mersch, Sch
Belair, Place de Fra
St. Vith, Triangel  
Schouweiler, Sch ife
Schuttrange, Um Grou
Eschweiler/Junglinst
Broderbour, Broderbo
Scheidgen, Hotschent
Greisch, Op der Quae
Niedercorn, Maison d
Pronsfeld, L nebache
Reckange/Mess, Am Du
Wemperhaart, Op der 
Soleuvre, Pl. de l'I
Dudelange, Route de 
Bonnevoie, Pont-Remy
Itzig, Hubertuspad  
Esch/Alzette, Belval
Hamm, Schoul        
Oberfeulen, Op Hoper
Boudlerbach, Boudler
Grosbous, Op der Baa
Hondelange, rue de l
Senningerberg, Charl
Longwy, Gare        
Colmar-Berg, Gare   
Longwy, Vauban      
Ehlange, Am Pull    
Lentzweiler         
Reimberg, Michel Luc
Munsbach, Aisvull   
Oberfeulen, route d'
Tandel, Schoul      
Bonnevoie, Dernier S
Bascharage, Dicks Le
Schieren, Gare      
Arlon, Gare         
Centre, Alsace      
Saeul, Ki m         
Heisdorf, Bei der Pa
Alsdorf (Eifel), Im 
T tange, Lorei      
Baschleiden, Flebour
Sinz (D), Ortsmitte 
Bruxelles, Nord     
Sirzenich, P&R B51  
Athus, rue du Commer
Steinheim, Spillscho
Michelau, Kiirch    
Gasperich, Louis de 
Rameldange, R tsch  
Herserange, Godfroy 
Junglinster, Um Lei 
Kirchberg, Chambre d
Foetz, Am Brill     
Grevenmacher, Gare r
Differdange, R. de l
Oberkorn, Chiers    
Obercorn, Aquasud   
Mamer, Arelerstrooss
Asselborn, Centre   
Dasburg, Lehmkaul   
Sprinkange, Um Kierk
Arzfeld, Kapelle    
Lichtenborn, Fuchswi
Differdange, Aal Gar
Buschdorf, Help rtwe
Neudorf, Laangegronn
Leudelange, Foyer   
Mertert, Gare       
Rambrouch, Schlass  
Longvilly,  glise   
Bastogne, Centre Spo
Bruxelles, Luxembour
Banzelt, Ort        
Schwebsingen, Centre
Steinsel, Um Gruef  
Mondercange, Centre 
Mersch, Hunnebour   
Grindhausen/Grandsen
Bascharage, Bommertb
Rodange, Wissi      
Saulnes, Les Pierret
Vichten, Ohligsfeld 
Contern, Kiircheplaz
P tange, Pr nzebierg
Hellange, Kiirch    
Elvange, W ntrengers
Marnach, Munzerstroo
Bellain, Gare       
Bissen, Op der Mille
Pagny-sur-Moselle   
Wickrange, Rumbaach 
Bissen, Kr izung    
Rodershausen, Um Wei
Dudelange, Eurohub  
Colmar, Faubourg    
Huncherange, Kreizun
Alzingen, G ssel    
Valeriushaff        
Consthum, K mel     
Rippig              
Medernach, Op der Ga
Eich, Octroi        
Bivels, Loch        
Steinsel, Schoul    
Keispelt, Spellen Ec
Bettel, Bei der Br c
Longwy, Lebrun Besse
Dommeldange, Jean En
Athus, Clinique     
Aspelt, Am Gr ndchen
M llerthal/M llerdal
Mersch, Lyc e Ermesi
Losheim, Heimlingen 
Sandweiler, Kapelleb
Dudelange, Rue Grand
Esch/Alzette, Conser
Kirchberg, Prince F 
Gasperich, Al Gasper
Limpertsberg, Kiisch
Alzingen, Hondsbr ck
Kirchberg, Marguerit
Breidfeld           
Strassen, Michel Ang
Kirchberg, Europe Ga
Redange, Osperstroos
Differdange, Am B sc
Dudelange, L.N.B. An
Michelau, Gare      
Leesbach            
Stolzembourg, Akesch
Bastogne, Pl. McAuli
Kleinbettingen, Kiir
Munsbach, Gare      
Wolpert             
T tange, Gare       
Rollingergrund, Beim
Mondercange, Kummerh
Folschette, Centre C
Dudelange, LNS      
Bettange, Dippechers
Mertert, Parc       
Bascharage, Rue de S
S lange, rue de Clem
Trier, P&R Messegel 
Lullange            
Consthum, Ennescht D
Garnich, Brill      
Eselborn, Dueref    
Hupperdange, Hualewe
Rodange, Beim Casino
Brouch/Wecker       
Dudelange, Fohrmann 
Trier, Bei der R mer
Hachiville, Kiirfech
Bonnevoie, Baden-Pow
Dondelange/Dondel   
Rodange, Croix St. P
Hagen, Kiirch       
P.A.S.-Stackint     
Pontpierre, Steewee 
Ehlerange, Schoul   
Rosport, Gemeng     
Pr m, Bahnhof       
Lichtenborn, Dorfpla
Cents, Tawioun      
Troisvierges, B nzel
Mersch, St ereplaz  
Roodt/Syre, Rue d'Ol
Ingeldorf, Kiirchpla
Belvaux, Roudewee Sc
Bonnevoie, Kaltreis 
Kirchberg, Europapar
Kahler, Schm tt     
Mondercange, Parking
Mamer, Lyc e (gare f
Mexy, La Forchette  
Munsbach, Parc d'Act
Holzthum, Ferme Thev
Esch/Alzette, Peckes
Rodange, Raths      
Fingig, Maerchen    
Strassen, Grande-Duc
Beaufort, Reisduerfe
Useldange, Beim G rd
Garnich, Holzemerstr
Girst               
T tange, Um Haff    
Cruchten, Schl f    
Huldange, Groussefel
Saarlouis, Kleiner M
Volmerange-les-Mines
Rodange, Siole      
Mersch, Lankheck    
Namur, Gare         
Schifflange, Poto   
Herserange, Quatre V
Olm, Kr izwee       
Schrassig, Schlassge
Kirchberg, Schm dd  
Differdange, Wagner 
Losheim, Bahnhof    
Milbech             
Larochette, Millewee
Dudelange, Riedgen 3
Dudelange, Riedgen 2
Liefrange, Kiirch   
Boxhorn, Eglise     
Trier, Saarstra e   
Niederpallen, Ver in
P tange, L tzebuerge
Flebour, Op der Fl i
Koerich, Gemeng     
Meispelt, Kuesselt  
Wecker, Gare        
Esch/Alzette, Bd Pri
Kirchberg, Luxexpo Q
Vielsalm, Gare      
Ehnen, Neie Wee     
Differdange, Becklec
Kirchberg, Luxexpo E
Diekirch, Lindab Bui
Mertzig, W chen     
Hoscheid, Markenbach
Fischbach/Heinersche
Kopstal, Saangen    
Munshausen, Am iewwe
Gondelengermillen   
Watzenrath, Gasthaus
Nocher, Route       
Ennert Schinker     
Ettelbruck, Pl.du Ma
Centre, Gruef       
Dommeldange, Parc de
Bastendorf, Ge'erwee
Ettelbruck, Anc. Cli
Cents, Fort Dumoulin
Differdange, Seelebu
Bonnevoie, Jeanne d'
Hesperange, Urbengss
Doncols, Bei der Kie
Pr m, Niederpr m Feu
P tange, Op der Mill
Lintgen, Gare       
Leudelange, P ssenda
Remich, Maatebierg  
Leithum, Bei der ale
Moutfort, Juxgaass  
Derenbach, Gro staen
Contern, I.E.E.     
Rodange, Brouckerwee
Oberwampach, Br ck  
Pratz, Zentrum      
Rodange, Fonderie   
Esch/Alzette, Rue Vi
Obereisenbach, Bei d
Moutfort, Bombasch  
Doennange           
Erpeldange/S re, An 
Fridhaff            
Alscheid, Village   
Scheidgen, Biweschla
Esch/Alzette, Pl. H 
Heispelt            
Clemency, Ieweschtga
Rollingergrund, Roud
Yutz, A roPark P&R  
Wahlhausen, Sapini r
Peppange, Duerfplaz 
R dange, Mairie     
Dippach-Reckange, Ga
Stolzembourg, S.E.O.
Baschleiden, Elber  
Senningerberg, Rue d
Warken, Rue de Burde
Niederkorn, Gielen B
